title,description,start_date,start_time,end_date,end_time,last_updated,status,tracking_number,tracking_link,last_tracked,service,tp_id,state_abbrievation
TX1017-BC - UPS,"Tracking Number: 1ZC71G770308218528

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZC71G770308218528&lang=en",2024-10-22'T'00:00:00.000'Z',2024-10-22,2024-10-23'T'00:00:00.000'Z',2024-10-23,2024-10-18T05:29:07.688Z,cancelled,1ZC71G770308218528,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZC71G770308218528&lang=en,2024-10-18T05:29:07.688Z,UPS,TX1017-BC,
NC1017-LOTO - UPS,"Tracking Number: 1ZGW61220311143170

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW61220311143170&lang=en",2024-10-23'T'00:00:00.000'Z',2024-10-23,2024-10-24'T'00:00:00.000'Z',2024-10-24,2024-10-18T05:29:07.688Z,cancelled,1ZGW61220311143170,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW61220311143170&lang=en,2024-10-18T05:29:07.688Z,UPS,NC1017-LOTO,
VA1017B-SEVN - UPS,"Tracking Number: 1ZGW61220314144584

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW61220314144584&lang=en",2024-10-23'T'00:00:00.000'Z',2024-10-23,2024-10-24'T'00:00:00.000'Z',2024-10-24,2024-10-18T05:29:07.688Z,cancelled,1ZGW61220314144584,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW61220314144584&lang=en,2024-10-18T05:29:07.688Z,UPS,VA1017B-SEVN,
TX1017-LOTO - UPS,"Tracking Number: 1ZGW61220315626169

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW61220315626169&lang=en",2024-10-22T12:00:00Z,2024-10-22T12:00:00Z,2024-10-22T14:00:00Z,2024-10-22T14:00:00Z,2024-10-18T05:29:07.688Z,cancelled,1ZGW61220315626169,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW61220315626169&lang=en,2024-10-18T05:29:07.688Z,UPS,TX1017-LOTO,
VA1017A-SEVN - UPS,"Tracking Number: 1ZGW61220328209729

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW61220328209729&lang=en",2024-10-23'T'00:00:00.000'Z',2024-10-23,2024-10-24'T'00:00:00.000'Z',2024-10-24,2024-10-18T05:29:07.688Z,cancelled,1ZGW61220328209729,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW61220328209729&lang=en,2024-10-18T05:29:07.688Z,UPS,VA1017A-SEVN,
IL1017-LOTO - UPS,"Tracking Number: 1ZGW61220328872119

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW61220328872119&lang=en",2024-10-22T10:00:00Z,2024-10-22T10:00:00Z,2024-10-22T12:00:00Z,2024-10-22T12:00:00Z,2024-10-18T05:29:07.688Z,cancelled,1ZGW61220328872119,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW61220328872119&lang=en,2024-10-18T05:29:07.688Z,UPS,IL1017-LOTO,
MD1010-TEST1 - UPS,"Tracking Number: 1ZGW61220304101344

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW61220304101344&lang=en",2024-10-16'T'00:00:00.000'Z',2024-10-16,2024-10-17'T'00:00:00.000'Z',2024-10-17,2024-10-18T05:29:07.951Z,cancelled,1ZGW61220304101344,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW61220304101344&lang=en,2024-10-18T05:29:07.951Z,UPS,MD1010-TEST1,
VA1010-SPOB - UPS,"Tracking Number: 1ZGW61220308697552

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW61220308697552&lang=en",2024-10-16T14:15:00Z,2024-10-16T14:15:00Z,2024-10-16T18:15:00Z,2024-10-16T18:15:00Z,2024-10-18T05:29:07.951Z,cancelled,1ZGW61220308697552,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW61220308697552&lang=en,2024-10-18T05:29:07.951Z,UPS,VA1010-SPOB,
MD1010-TEST2 - FedEx,"Tracking Number: 779170258562

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=fedex&code=779170258562&lang=en",2024-10-17'T'00:00:00.000'Z',2024-10-17,2024-10-18'T'00:00:00.000'Z',2024-10-18,2024-10-18T05:29:07.951Z,cancelled,7.7917E+11,https://parcel.app/webtrack.php?platform=calendar&type=fedex&code=779170258562&lang=en,2024-10-18T05:29:07.951Z,FedEx,MD1010-TEST2,
KS1010-KC - FedEx,"Tracking Number: 779170294321

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=fedex&code=779170294321&lang=en",2024-10-17'T'00:00:00.000'Z',2024-10-17,2024-10-18'T'00:00:00.000'Z',2024-10-18,2024-10-18T05:29:07.951Z,cancelled,7.7917E+11,https://parcel.app/webtrack.php?platform=calendar&type=fedex&code=779170294321&lang=en,2024-10-18T05:29:07.951Z,FedEx,KS1010-KC,
DC1011-TEST3 - FedEx,"Tracking Number: 779197706727

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=fedex&code=779197706727&lang=en",2024-10-17'T'00:00:00.000'Z',2024-10-17,2024-10-18'T'00:00:00.000'Z',2024-10-18,2024-10-18T05:29:07.951Z,cancelled,7.79198E+11,https://parcel.app/webtrack.php?platform=calendar&type=fedex&code=779197706727&lang=en,2024-10-18T05:29:07.951Z,FedEx,DC1011-TEST3,
GA1014-LOTO - UPS,"Tracking Number: 1ZGW61220322805505

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW61220322805505&lang=en",2024-10-18T14:15:00Z,2024-10-18T14:15:00Z,2024-10-18T18:15:00Z,2024-10-18T18:15:00Z,2024-10-18T16:29:08.225Z,cancelled,1ZGW61220322805505,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW61220322805505&lang=en,2024-10-18T16:29:08.225Z,UPS,GA1014-LOTO,
